date,SPY wkly close,QQQ wkly close,DIA wkly close,VNQ wkly close,BITO wkly close
10-16-2017,257.11,148.71,233.13,83.65,
10-23-2017,257.71,151.24,234.17,82.28,
10-30-2017,258.45,153.27,235.18,83.09,
11-06-2017,258.09,153.68,234.43,84.93,
11-13-2017,257.86,153.95,233.39,84.65,
11-20-2017,260.36,156.26,235.47,84.95,
11-27-2017,264.46,154.49,242.45,84.59,
12-04-2017,265.51,154.7,243.62,84.03,
12-11-2017,266.51,157.65,246.25,85.08,
12-18-2017,267.51,157.37,247.4,81.83,
12-25-2017,266.86,155.76,247.38,82.98,
01-01-2018,273.42,161.92,252.72,81.05,
01-08-2018,277.92,164.49,257.91,78.61,
01-15-2018,280.41,166.34,260.54,78.71,
01-22-2018,286.58,170.93,265.91,79.69,
01-29-2018,275.45,164.61,254.93,77.08,
02-05-2018,261.5,156.1,242.03,74.15,
02-12-2018,273.11,164.96,251.96,75.29,
02-19-2018,274.71,168.17,252.91,74.94,
02-26-2018,269.08,165.99,245.35,73.39,
03-05-2018,278.87,173.16,253.56,75.58,
03-12-2018,274.2,171.02,249.1,76.56,
03-19-2018,258.05,158.51,235.13,73.31,
03-26-2018,263.15,160.13,241.4,75.47,
04-02-2018,259.72,156.63,239.13,75.27,
04-09-2018,265.15,161.37,243.58,74.66,
04-16-2018,266.61,162.3,244.48,74.05,
04-23-2018,266.56,162.09,242.95,76.39,
04-30-2018,266.02,164.87,242.52,77.29,
05-07-2018,272.85,169.46,248.54,78.28,
05-14-2018,271.33,167.46,247.0,75.84,
05-21-2018,272.15,169.72,247.37,77.73,
05-28-2018,273.6,172.74,246.36,79.24,
06-04-2018,278.19,174.44,253.27,80.2,
06-11-2018,277.13,176.98,250.74,79.69,
06-18-2018,274.74,175.32,245.69,80.79,
06-25-2018,271.28,171.65,242.73,81.45,
07-02-2018,275.42,175.61,244.6,83.02,
07-09-2018,279.59,179.61,250.2,82.26,
07-16-2018,279.68,178.99,250.44,81.08,
07-23-2018,281.42,177.62,254.26,80.54,
07-30-2018,283.6,180.08,254.39,83.08,
08-06-2018,283.16,180.52,253.3,81.75,
08-13-2018,285.06,179.86,256.51,84.06,
08-20-2018,287.51,182.48,257.85,83.42,
08-27-2018,290.31,186.65,259.85,84.05,
09-03-2018,287.6,181.11,259.54,82.86,
09-10-2018,290.88,183.99,261.89,83.14,
09-17-2018,291.99,183.71,267.12,82.78,
09-24-2018,290.72,185.79,264.4,80.68,
10-01-2018,287.82,180.15,264.32,78.2,
10-08-2018,275.95,174.32,253.3,75.82,
10-15-2018,276.25,173.02,254.32,78.12,
10-22-2018,265.33,166.66,246.53,77.2,
